2026-09-02 05:24:52.649 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 10/180: candidates [880,727, 880,782) (legacy sub-chunk)
2026-09-02 05:24:52.650 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 10/180 filtering: 55 candidates → 5 frequent (9.1% pass rate, min_count=50)
2026-09-02 05:24:52.650 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 11/180: candidates [880,782, 880,848)
2026-09-02 05:24:52.652 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 11/180 filtering: 66 candidates → 8 frequent (12.1% pass rate, min_count=50)
2026-09-02 05:24:52.652 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 12/180: candidates [880,848, 880,884) (legacy sub-chunk)
2026-09-02 05:24:52.653 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 12/180 filtering: 36 candidates → 15 frequent (41.7% pass rate, min_count=50)
2026-09-02 05:24:52.653 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 13/180: candidates [880,884, 880,950)
2026-09-02 05:24:52.655 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 13/180 filtering: 66 candidates → 4 frequent (6.1% pass rate, min_count=50)
2026-09-02 05:24:52.655 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 14/180: candidates [880,950, 881,005) (legacy sub-chunk)
2026-09-02 05:24:52.671 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 14/180 filtering: 55 candidates → 32 frequent (58.2% pass rate, min_count=50)
2026-09-02 05:24:52.671 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 15/180: candidates [881,005, 881,305)
2026-09-02 05:24:52.673 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 15/180 filtering: 300 candidates → 72 frequent (24.0% pass rate, min_count=50)
2026-09-02 05:24:52.673 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 16/180: candidates [881,305, 881,348) (legacy sub-chunk)
2026-09-02 05:24:52.674 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 16/180 filtering: 43 candidates → 15 frequent (34.9% pass rate, min_count=50)
2026-09-02 05:24:52.674 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 17/180: candidates [881,348, 881,519)
2026-09-02 05:24:52.679 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 17/180 filtering: 171 candidates → 27 frequent (15.8% pass rate, min_count=50)
2026-09-02 05:24:52.680 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 18/180: candidates [881,519, 881,540) (legacy sub-chunk)
2026-09-02 05:24:52.682 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 18/180 filtering: 21 candidates → 17 frequent (81.0% pass rate, min_count=50)
2026-09-02 05:24:52.682 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 19/180: candidates [881,540, 881,660)
2026-09-02 05:24:52.684 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 19/180 filtering: 120 candidates → 42 frequent (35.0% pass rate, min_count=50)
2026-09-02 05:24:52.684 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 20/180: candidates [881,660, 881,705) (legacy sub-chunk)
2026-09-02 05:24:52.685 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 20/180 filtering: 45 candidates → 24 frequent (53.3% pass rate, min_count=50)
2026-09-02 05:24:52.685 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 21/180: candidates [881,705, 882,059)
2026-09-02 05:24:52.688 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 21/180 filtering: 354 candidates → 86 frequent (24.3% pass rate, min_count=50)
2026-09-02 05:24:52.688 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 22/180: candidates [882,059, 882,134) (legacy sub-chunk)
2026-09-02 05:24:52.689 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 22/180 filtering: 75 candidates → 28 frequent (37.3% pass rate, min_count=50)
2026-09-02 05:24:52.689 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 23/180: candidates [882,134, 882,441)
2026-09-02 05:24:52.691 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 23/180 filtering: 307 candidates → 51 frequent (16.6% pass rate, min_count=50)
2026-09-02 05:24:52.691 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 24/180: candidates [882,441, 882,447) (legacy sub-chunk)
2026-09-02 05:24:52.692 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 24/180 filtering: 6 candidates → 6 frequent (100.0% pass rate, min_count=50)
2026-09-02 05:24:52.692 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 25/180: candidates [882,447, 882,657)
2026-09-02 05:24:52.694 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 25/180 filtering: 210 candidates → 53 frequent (25.2% pass rate, min_count=50)
2026-09-02 05:24:52.694 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 26/180: candidates [882,657, 882,712) (legacy sub-chunk)
2026-09-02 05:24:52.695 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 26/180 filtering: 55 candidates → 33 frequent (60.0% pass rate, min_count=50)
2026-09-02 05:24:52.695 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 27/180: candidates [882,712, 882,949)
2026-09-02 05:24:52.697 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 27/180 filtering: 237 candidates → 48 frequent (20.3% pass rate, min_count=50)
2026-09-02 05:24:52.697 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 28/180: candidates [882,949, 883,122) (legacy sub-chunk)
2026-09-02 05:24:52.698 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 28/180 filtering: 173 candidates → 81 frequent (46.8% pass rate, min_count=50)
2026-09-02 05:24:52.698 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 29/180: candidates [883,122, 883,375)
2026-09-02 05:24:52.701 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 29/180 filtering: 253 candidates → 77 frequent (30.4% pass rate, min_count=50)
2026-09-02 05:24:52.701 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 30/180: candidates [883,375, 883,572) (legacy sub-chunk)
2026-09-02 05:24:52.702 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 30/180 filtering: 197 candidates → 92 frequent (46.7% pass rate, min_count=50)
2026-09-02 05:24:52.702 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 31/180: candidates [883,572, 884,053)
