2026-09-02 00:52:08.056 | INFO     | __main__:main:98 - Rust extension (et_miner_rust): OK
2026-09-02 00:52:10.380 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 14/66: candidates [588,576, 588,597) (legacy sub-chunk)
2026-09-02 00:52:10.381 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 14/66 filtering: 21 candidates → 13 frequent (61.9% pass rate, min_count=20)
2026-09-02 00:52:10.381 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 15/66: candidates [588,597, 589,193)
2026-09-02 00:52:10.383 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 15/66 filtering: 596 candidates → 214 frequent (35.9% pass rate, min_count=20)
2026-09-02 00:52:10.383 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 16/66: candidates [589,193, 589,305) (legacy sub-chunk)
2026-09-02 00:52:10.384 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 16/66 filtering: 112 candidates → 67 frequent (59.8% pass rate, min_count=20)
2026-09-02 00:52:10.384 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 17/66: candidates [589,305, 589,495)
2026-09-02 00:52:10.386 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 17/66 filtering: 190 candidates → 78 frequent (41.1% pass rate, min_count=20)
2026-09-02 00:52:10.386 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 18/66: candidates [589,495, 589,715) (legacy sub-chunk)
2026-09-02 00:52:10.387 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 18/66 filtering: 220 candidates → 93 frequent (42.3% pass rate, min_count=20)
2026-09-02 00:52:10.387 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 19/66: candidates [589,715, 589,851)
2026-09-02 00:52:10.389 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 19/66 filtering: 136 candidates → 36 frequent (26.5% pass rate, min_count=20)
2026-09-02 00:52:10.389 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 20/66: candidates [589,851, 589,931) (legacy sub-chunk)
2026-09-02 00:52:10.390 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 20/66 filtering: 80 candidates → 50 frequent (62.5% pass rate, min_count=20)
2026-09-02 00:52:10.390 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 21/66: candidates [589,931, 589,997)
2026-09-02 00:52:10.392 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 21/66 filtering: 66 candidates → 66 frequent (100.0% pass rate, min_count=20)
2026-09-02 00:52:10.392 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 22/66: candidates [589,997, 590,101) (legacy sub-chunk)
2026-09-02 00:52:10.393 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 22/66 filtering: 104 candidates → 72 frequent (69.2% pass rate, min_count=20)
2026-09-02 00:52:10.393 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 23/66: candidates [590,101, 590,233)
2026-09-02 00:52:10.394 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 23/66 filtering: 132 candidates → 65 frequent (49.2% pass rate, min_count=20)
2026-09-02 00:52:10.394 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 24/66: candidates [590,233, 590,296) (legacy sub-chunk)
