timestamp, index, utilization.gpu [%], memory.used [MiB]
2026/09/02 20:15:02.755, 0, 0 %, 21657 MiB
2026/09/02 20:15:02.755, 1, 0 %, 0 MiB
2026/09/02 20:15:07.756, 0, 0 %, 21657 MiB
2026/09/02 20:15:07.756, 1, 0 %, 0 MiB
2026/09/02 20:15:12.756, 0, 0 %, 21657 MiB
2026/09/02 20:15:12.757, 1, 0 %, 0 MiB
2026/09/02 20:15:17.757, 0, 0 %, 21657 MiB
2026/09/02 20:15:17.757, 1, 0 %, 0 MiB
2026/09/02 20:15:22.758, 0, 0 %, 21657 MiB
2026/09/02 20:15:22.758, 1, 0 %, 0 MiB
2026/09/02 20:15:27.759, 0, 0 %, 21657 MiB
2026/09/02 20:15:27.759, 1, 0 %, 0 MiB
2026/09/02 20:15:32.760, 0, 0 %, 21657 MiB
2026/09/02 20:15:32.760, 1, 0 %, 0 MiB
2026/09/02 20:15:37.761, 0, 0 %, 21657 MiB
2026/09/02 20:15:37.761, 1, 0 %, 0 MiB
2026/09/02 20:15:42.762, 0, 0 %, 21657 MiB
2026/09/02 20:15:42.762, 1, 0 %, 0 MiB
2026/09/02 20:15:47.762, 0, 0 %, 21657 MiB
2026/09/02 20:15:47.762, 1, 0 %, 0 MiB
2026/09/02 20:15:52.763, 0, 0 %, 21657 MiB
2026/09/02 20:15:52.763, 1, 0 %, 0 MiB
2026/09/02 20:15:57.764, 0, 0 %, 21657 MiB
2026/09/02 20:15:57.764, 1, 0 %, 0 MiB
2026/09/02 20:16:02.764, 0, 28 %, 21657 MiB
2026/09/02 20:16:02.765, 1, 0 %, 0 MiB
2026/09/02 20:16:07.765, 0, 21 %, 21657 MiB
2026/09/02 20:16:07.765, 1, 0 %, 0 MiB
2026/09/02 20:16:12.766, 0, 28 %, 21657 MiB
2026/09/02 20:16:12.766, 1, 0 %, 0 MiB
2026/09/02 20:16:17.766, 0, 27 %, 21657 MiB
2026/09/02 20:16:17.767, 1, 0 %, 0 MiB
2026/09/02 20:16:22.767, 0, 0 %, 21657 MiB
2026/09/02 20:16:22.767, 1, 0 %, 0 MiB
2026/09/02 20:16:27.768, 0, 0 %, 21657 MiB
2026/09/02 20:16:27.768, 1, 0 %, 0 MiB
2026/09/02 20:16:32.769, 0, 24 %, 21659 MiB
2026/09/02 20:16:32.769, 1, 0 %, 0 MiB
2026/09/02 20:16:37.769, 0, 24 %, 21659 MiB
2026/09/02 20:16:37.769, 1, 0 %, 0 MiB
2026/09/02 20:16:42.770, 0, 24 %, 21659 MiB
2026/09/02 20:16:42.770, 1, 0 %, 0 MiB
2026/09/02 20:16:47.770, 0, 24 %, 21659 MiB
2026/09/02 20:16:47.771, 1, 0 %, 0 MiB
2026/09/02 20:16:52.771, 0, 0 %, 21659 MiB
2026/09/02 20:16:52.771, 1, 0 %, 0 MiB
2026/09/02 20:16:57.772, 0, 0 %, 21659 MiB
2026/09/02 20:16:57.772, 1, 0 %, 0 MiB
2026/09/02 20:17:02.773, 0, 0 %, 21659 MiB
2026/09/02 20:17:02.773, 1, 0 %, 0 MiB
2026/09/02 20:17:07.773, 0, 0 %, 21659 MiB
2026/09/02 20:17:07.773, 1, 0 %, 0 MiB
2026/09/02 20:17:12.774, 0, 0 %, 21659 MiB
2026/09/02 20:17:12.774, 1, 0 %, 0 MiB
2026/09/02 20:17:17.775, 0, 0 %, 21659 MiB
2026/09/02 20:17:17.775, 1, 0 %, 0 MiB
2026/09/02 20:17:22.775, 0, 0 %, 21659 MiB
2026/09/02 20:17:22.775, 1, 0 %, 0 MiB
2026/09/02 20:17:27.777, 0, 0 %, 21659 MiB
2026/09/02 20:17:27.777, 1, 0 %, 0 MiB
2026/09/02 20:17:32.777, 0, 0 %, 21659 MiB
2026/09/02 20:17:32.778, 1, 0 %, 0 MiB
2026/09/02 20:17:37.778, 0, 0 %, 21659 MiB
2026/09/02 20:17:37.778, 1, 0 %, 0 MiB
2026/09/02 20:17:42.779, 0, 0 %, 21659 MiB
2026/09/02 20:17:42.779, 1, 0 %, 0 MiB
2026/09/02 20:17:47.779, 0, 0 %, 21659 MiB
2026/09/02 20:17:47.780, 1, 0 %, 0 MiB
2026/09/02 20:17:52.780, 0, 0 %, 21659 MiB
2026/09/02 20:17:52.780, 1, 0 %, 0 MiB
2026/09/02 20:17:57.781, 0, 0 %, 21659 MiB
2026/09/02 20:17:57.781, 1, 0 %, 0 MiB
2026/09/02 20:18:02.781, 0, 0 %, 21659 MiB
2026/09/02 20:18:02.781, 1, 0 %, 0 MiB
2026/09/02 20:18:07.782, 0, 0 %, 21659 MiB
2026/09/02 20:18:07.782, 1, 0 %, 0 MiB
2026/09/02 20:18:12.783, 0, 0 %, 21659 MiB
2026/09/02 20:18:12.783, 1, 0 %, 0 MiB
2026/09/02 20:18:17.783, 0, 0 %, 21659 MiB
2026/09/02 20:18:17.783, 1, 0 %, 0 MiB
2026/09/02 20:18:22.784, 0, 0 %, 21659 MiB
2026/09/02 20:18:22.784, 1, 0 %, 0 MiB
2026/09/02 20:18:27.785, 0, 0 %, 21659 MiB
2026/09/02 20:18:27.785, 1, 0 %, 0 MiB
2026/09/02 20:18:32.785, 0, 0 %, 21659 MiB
2026/09/02 20:18:32.785, 1, 0 %, 0 MiB
2026/09/02 20:18:37.786, 0, 0 %, 21659 MiB
2026/09/02 20:18:37.786, 1, 0 %, 0 MiB
2026/09/02 20:18:42.787, 0, 0 %, 21659 MiB
2026/09/02 20:18:42.787, 1, 0 %, 0 MiB
2026/09/02 20:18:47.787, 0, 0 %, 21659 MiB
2026/09/02 20:18:47.788, 1, 0 %, 0 MiB
2026/09/02 20:18:52.788, 0, 0 %, 21659 MiB
2026/09/02 20:18:52.788, 1, 0 %, 0 MiB
2026/09/02 20:18:57.789, 0, 0 %, 21659 MiB
2026/09/02 20:18:57.789, 1, 0 %, 0 MiB
2026/09/02 20:19:02.789, 0, 0 %, 21659 MiB
2026/09/02 20:19:02.790, 1, 0 %, 0 MiB
2026/09/02 20:19:07.790, 0, 0 %, 21659 MiB
2026/09/02 20:19:07.790, 1, 0 %, 0 MiB
2026/09/02 20:19:12.791, 0, 0 %, 21659 MiB
2026/09/02 20:19:12.791, 1, 0 %, 0 MiB
2026/09/02 20:19:17.791, 0, 0 %, 21659 MiB
2026/09/02 20:19:17.791, 1, 0 %, 0 MiB
2026/09/02 20:19:22.792, 0, 0 %, 21659 MiB
2026/09/02 20:19:22.792, 1, 0 %, 0 MiB
2026/09/02 20:19:27.793, 0, 0 %, 21659 MiB
2026/09/02 20:19:27.793, 1, 0 %, 0 MiB
2026/09/02 20:19:32.793, 0, 0 %, 21659 MiB
2026/09/02 20:19:32.793, 1, 0 %, 0 MiB
2026/09/02 20:19:37.794, 0, 0 %, 21659 MiB
2026/09/02 20:19:37.794, 1, 0 %, 0 MiB
2026/09/02 20:19:42.795, 0, 0 %, 21659 MiB
2026/09/02 20:19:42.957, 1, 0 %, 0 MiB
2026/09/02 20:19:47.958, 0, 0 %, 21659 MiB
2026/09/02 20:19:47.958, 1, 0 %, 0 MiB
2026/09/02 20:19:52.958, 0, 0 %, 21659 MiB
2026/09/02 20:19:53.167, 1, 0 %, 0 MiB
2026/09/02 20:19:58.168, 0, 0 %, 21659 MiB
2026/09/02 20:19:58.265, 1, 0 %, 0 MiB
2026/09/02 20:20:03.265, 0, 0 %, 21659 MiB
2026/09/02 20:20:03.265, 1, 0 %, 0 MiB
2026/09/02 20:20:08.266, 0, 0 %, 21659 MiB
2026/09/02 20:20:08.266, 1, 0 %, 0 MiB
2026/09/02 20:20:13.267, 0, 0 %, 21659 MiB
2026/09/02 20:20:13.267, 1, 0 %, 0 MiB
2026/09/02 20:20:18.267, 0, 0 %, 21659 MiB
2026/09/02 20:20:18.267, 1, 0 %, 0 MiB
2026/09/02 20:20:23.268, 0, 0 %, 21659 MiB
2026/09/02 20:20:23.268, 1, 0 %, 0 MiB
2026/09/02 20:20:28.268, 0, 0 %, 21659 MiB
2026/09/02 20:20:28.268, 1, 0 %, 0 MiB
2026/09/02 20:20:33.269, 0, 0 %, 21659 MiB
2026/09/02 20:20:33.269, 1, 0 %, 0 MiB
2026/09/02 20:20:38.270, 0, 0 %, 21659 MiB
2026/09/02 20:20:38.270, 1, 0 %, 0 MiB
2026/09/02 20:20:43.270, 0, 0 %, 21659 MiB
2026/09/02 20:20:43.270, 1, 0 %, 0 MiB
