timestamp, index, utilization.gpu [%], memory.used [MiB]
2026/09/02 18:55:34.888, 0, 0 %, 18747 MiB
2026/09/02 18:55:34.888, 1, 0 %, 0 MiB
2026/09/02 18:55:39.888, 0, 0 %, 18747 MiB
2026/09/02 18:55:39.888, 1, 0 %, 0 MiB
2026/09/02 18:55:44.889, 0, 0 %, 18747 MiB
2026/09/02 18:55:44.889, 1, 0 %, 0 MiB
2026/09/02 18:55:49.889, 0, 0 %, 18747 MiB
2026/09/02 18:55:49.890, 1, 0 %, 0 MiB
2026/09/02 18:55:54.890, 0, 0 %, 18747 MiB
2026/09/02 18:55:54.890, 1, 0 %, 0 MiB
2026/09/02 18:55:59.891, 0, 0 %, 18747 MiB
2026/09/02 18:55:59.891, 1, 0 %, 0 MiB
2026/09/02 18:56:04.891, 0, 0 %, 18747 MiB
2026/09/02 18:56:04.891, 1, 0 %, 0 MiB
2026/09/02 18:56:09.892, 0, 0 %, 18747 MiB
2026/09/02 18:56:09.892, 1, 0 %, 0 MiB
2026/09/02 18:56:14.892, 0, 0 %, 18747 MiB
2026/09/02 18:56:14.893, 1, 0 %, 0 MiB
2026/09/02 18:56:19.893, 0, 0 %, 18747 MiB
2026/09/02 18:56:19.893, 1, 0 %, 0 MiB
2026/09/02 18:56:24.894, 0, 0 %, 18747 MiB
2026/09/02 18:56:24.894, 1, 0 %, 0 MiB
2026/09/02 18:56:29.895, 0, 0 %, 18747 MiB
2026/09/02 18:56:29.895, 1, 0 %, 0 MiB
2026/09/02 18:56:34.895, 0, 0 %, 18747 MiB
2026/09/02 18:56:34.895, 1, 0 %, 0 MiB
2026/09/02 18:56:39.896, 0, 0 %, 18747 MiB
2026/09/02 18:56:39.896, 1, 0 %, 0 MiB
2026/09/02 18:56:44.896, 0, 0 %, 18747 MiB
2026/09/02 18:56:44.897, 1, 0 %, 0 MiB
2026/09/02 18:56:49.897, 0, 0 %, 18747 MiB
2026/09/02 18:56:49.897, 1, 0 %, 0 MiB
2026/09/02 18:56:54.898, 0, 0 %, 18747 MiB
2026/09/02 18:56:54.898, 1, 0 %, 0 MiB
2026/09/02 18:56:59.898, 0, 0 %, 18747 MiB
2026/09/02 18:56:59.898, 1, 0 %, 0 MiB
2026/09/02 18:57:04.899, 0, 0 %, 18747 MiB
2026/09/02 18:57:04.899, 1, 0 %, 0 MiB
2026/09/02 18:57:09.900, 0, 0 %, 18747 MiB
2026/09/02 18:57:09.900, 1, 0 %, 0 MiB
2026/09/02 18:57:14.900, 0, 0 %, 18747 MiB
2026/09/02 18:57:14.900, 1, 0 %, 0 MiB
2026/09/02 18:57:19.901, 0, 0 %, 18747 MiB
2026/09/02 18:57:19.901, 1, 0 %, 0 MiB
2026/09/02 18:57:24.902, 0, 0 %, 18747 MiB
2026/09/02 18:57:24.902, 1, 0 %, 0 MiB
2026/09/02 18:57:29.903, 0, 0 %, 18747 MiB
2026/09/02 18:57:29.903, 1, 0 %, 0 MiB
2026/09/02 18:57:34.903, 0, 0 %, 18747 MiB
2026/09/02 18:57:34.903, 1, 0 %, 0 MiB
2026/09/02 18:57:39.904, 0, 0 %, 18747 MiB
2026/09/02 18:57:39.904, 1, 0 %, 0 MiB
2026/09/02 18:57:44.905, 0, 0 %, 18747 MiB
2026/09/02 18:57:44.905, 1, 0 %, 0 MiB
2026/09/02 18:57:49.905, 0, 0 %, 18747 MiB
2026/09/02 18:57:49.905, 1, 0 %, 0 MiB
2026/09/02 18:57:54.906, 0, 0 %, 18747 MiB
2026/09/02 18:57:54.906, 1, 0 %, 0 MiB
2026/09/02 18:57:59.907, 0, 0 %, 18747 MiB
2026/09/02 18:57:59.907, 1, 0 %, 0 MiB
2026/09/02 18:58:04.907, 0, 0 %, 18747 MiB
2026/09/02 18:58:04.907, 1, 0 %, 0 MiB
2026/09/02 18:58:09.908, 0, 0 %, 18747 MiB
2026/09/02 18:58:09.908, 1, 0 %, 0 MiB
2026/09/02 18:58:14.909, 0, 0 %, 18747 MiB
2026/09/02 18:58:14.909, 1, 0 %, 0 MiB
2026/09/02 18:58:19.909, 0, 0 %, 18747 MiB
2026/09/02 18:58:19.909, 1, 0 %, 0 MiB
2026/09/02 18:58:24.910, 0, 0 %, 18747 MiB
2026/09/02 18:58:24.910, 1, 0 %, 0 MiB
2026/09/02 18:58:29.911, 0, 0 %, 18747 MiB
2026/09/02 18:58:29.911, 1, 0 %, 0 MiB
2026/09/02 18:58:34.911, 0, 0 %, 18747 MiB
2026/09/02 18:58:34.911, 1, 0 %, 0 MiB
2026/09/02 18:58:39.912, 0, 0 %, 18747 MiB
2026/09/02 18:58:39.912, 1, 0 %, 0 MiB
2026/09/02 18:58:44.912, 0, 0 %, 18747 MiB
2026/09/02 18:58:44.913, 1, 0 %, 0 MiB
2026/09/02 18:58:49.913, 0, 0 %, 18747 MiB
2026/09/02 18:58:49.913, 1, 0 %, 0 MiB
2026/09/02 18:58:54.914, 0, 0 %, 18747 MiB
2026/09/02 18:58:54.914, 1, 0 %, 0 MiB
2026/09/02 18:58:59.914, 0, 0 %, 18747 MiB
2026/09/02 18:58:59.914, 1, 0 %, 0 MiB
2026/09/02 18:59:04.915, 0, 0 %, 18747 MiB
2026/09/02 18:59:04.915, 1, 0 %, 0 MiB
2026/09/02 18:59:09.915, 0, 0 %, 18747 MiB
2026/09/02 18:59:09.916, 1, 0 %, 0 MiB
2026/09/02 18:59:14.916, 0, 0 %, 18747 MiB
2026/09/02 18:59:14.916, 1, 0 %, 0 MiB
2026/09/02 18:59:19.917, 0, 0 %, 18747 MiB
2026/09/02 18:59:19.917, 1, 0 %, 0 MiB
2026/09/02 18:59:24.917, 0, 0 %, 18747 MiB
2026/09/02 18:59:24.918, 1, 0 %, 0 MiB
2026/09/02 18:59:29.918, 0, 0 %, 18747 MiB
2026/09/02 18:59:29.918, 1, 0 %, 0 MiB
2026/09/02 18:59:34.919, 0, 0 %, 18747 MiB
2026/09/02 18:59:34.919, 1, 0 %, 0 MiB
2026/09/02 18:59:39.919, 0, 0 %, 18747 MiB
2026/09/02 18:59:39.920, 1, 0 %, 0 MiB
2026/09/02 18:59:44.920, 0, 0 %, 18747 MiB
2026/09/02 18:59:44.920, 1, 0 %, 0 MiB
2026/09/02 18:59:49.921, 0, 0 %, 18747 MiB
2026/09/02 18:59:49.921, 1, 0 %, 0 MiB
2026/09/02 18:59:54.921, 0, 0 %, 18747 MiB
2026/09/02 18:59:54.921, 1, 0 %, 0 MiB
2026/09/02 18:59:59.922, 0, 0 %, 18747 MiB
2026/09/02 18:59:59.922, 1, 0 %, 0 MiB
2026/09/02 19:00:04.923, 0, 0 %, 18747 MiB
2026/09/02 19:00:04.923, 1, 0 %, 0 MiB
2026/09/02 19:00:09.923, 0, 0 %, 18747 MiB
2026/09/02 19:00:09.923, 1, 0 %, 0 MiB
2026/09/02 19:00:14.924, 0, 100 %, 18789 MiB
2026/09/02 19:00:14.924, 1, 0 %, 0 MiB
2026/09/02 19:00:19.925, 0, 100 %, 18789 MiB
2026/09/02 19:00:19.925, 1, 0 %, 0 MiB
2026/09/02 19:00:24.925, 0, 100 %, 18867 MiB
2026/09/02 19:00:24.926, 1, 0 %, 0 MiB
2026/09/02 19:00:29.926, 0, 100 %, 18867 MiB
2026/09/02 19:00:29.926, 1, 0 %, 0 MiB
2026/09/02 19:00:34.927, 0, 100 %, 18867 MiB
2026/09/02 19:00:34.927, 1, 0 %, 0 MiB
2026/09/02 19:00:39.927, 0, 100 %, 18867 MiB
2026/09/02 19:00:39.927, 1, 0 %, 0 MiB
2026/09/02 19:00:44.928, 0, 0 %, 18867 MiB
2026/09/02 19:00:44.928, 1, 0 %, 0 MiB
2026/09/02 19:00:49.928, 0, 100 %, 18867 MiB
2026/09/02 19:00:49.929, 1, 0 %, 0 MiB
2026/09/02 19:00:54.929, 0, 100 %, 18867 MiB
2026/09/02 19:00:54.929, 1, 0 %, 0 MiB
2026/09/02 19:00:59.930, 0, 100 %, 18867 MiB
2026/09/02 19:00:59.930, 1, 0 %, 0 MiB
2026/09/02 19:01:04.930, 0, 100 %, 18867 MiB
2026/09/02 19:01:04.931, 1, 0 %, 0 MiB
2026/09/02 19:01:09.931, 0, 100 %, 18867 MiB
2026/09/02 19:01:09.931, 1, 0 %, 0 MiB
2026/09/02 19:01:14.932, 0, 100 %, 18867 MiB
2026/09/02 19:01:14.932, 1, 0 %, 0 MiB
2026/09/02 19:01:19.932, 0, 100 %, 18867 MiB
2026/09/02 19:01:19.932, 1, 0 %, 0 MiB
2026/09/02 19:01:24.933, 0, 100 %, 18867 MiB
2026/09/02 19:01:24.933, 1, 0 %, 0 MiB
2026/09/02 19:01:29.933, 0, 100 %, 18867 MiB
2026/09/02 19:01:29.933, 1, 0 %, 0 MiB
2026/09/02 19:01:34.934, 0, 100 %, 18867 MiB
2026/09/02 19:01:34.934, 1, 0 %, 0 MiB
2026/09/02 19:01:39.935, 0, 0 %, 18867 MiB
2026/09/02 19:01:39.935, 1, 0 %, 0 MiB
2026/09/02 19:01:44.935, 0, 0 %, 18867 MiB
